Time,Coverage
10,14246
20,28566
30,42437
40,55988
50,69234
60,82684
70,96121
80,109461
90,122674
100,135705
110,148945
120,162071
130,175459
140,188873
150,202323
160,215663
170,229039
180,241960
190,255099
200,268331
210,281702
220,294839
230,308033
240,321163
250,334736
260,348041
270,361406
280,374625
290,387790
300,401152
310,413933
320,427260
330,440621
340,454050
350,467311
360,480620
370,493741
380,507117
390,520532
400,533871
410,547269
420,560465
430,573813
440,587104
450,600554
460,613937
470,627229
480,640563
490,653926
500,667282
510,680505
520,693730
530,706997
540,720334
550,733589
560,746594
570,759551
580,772612
590,785579
600,798656
610,811709
620,824790
630,837838
640,850862
650,863922
660,877055
670,890078
680,903085
690,916107
700,929160
710,942130
720,955212
730,968179
740,981163
750,994178
760,1007109
770,1020056
780,1033008
790,1045991
800,1058951
810,1071888
820,1084717
830,1097604
840,1110542
850,1123399
860,1136365
870,1149526
880,1162522
890,1175464
900,1188344
910,1201414
920,1214318
930,1227250
940,1240187
950,1253087
960,1266044
970,1279015
980,1292003
990,1305001
1000,1317729
1010,1330610
1020,1343803
1030,1356706
1040,1369774
1050,1382842
1060,1396062
1070,1409130
1080,1422041
1090,1435025
1100,1447967
1110,1460889
1120,1473985
1130,1486903
1140,1499917
1150,1512974
1160,1525910
1170,1538799
1180,1551670
1190,1564523
1200,1577461
1210,1590112
1220,1603045
1230,1616074
1240,1628889
1250,1641543
1260,1654392
1270,1667201
1280,1680087
1290,1693037
1300,1705722
1310,1718277
1320,1731150
1330,1744039
1340,1756860
1350,1769743
1360,1782563
1370,1795447
1380,1808194
1390,1820988
1400,1833868
1410,1846790
1420,1859635
1430,1872436
1440,1885189
1450,1897922
1460,1910718
1470,1923491
1480,1936309
1490,1949031
1500,1961736
1510,1973787
1520,1986783
1530,1999573
1540,2012327
1550,2024882
1560,2037732
1570,2050584
1580,2063436
1590,2076257
1600,2088470
1610,2101206
1620,2114032
1630,2126893
1640,2139551
1650,2152409
1660,2165276
1670,2178017
1680,2190855
1690,2203598
1700,2216327
1710,2228965
1720,2241629
1730,2254337
1740,2267084
1750,2279753
1760,2292503
1770,2305147
1780,2317772
1790,2330439
1800,2343050
1810,2355686
1820,2368376
1830,2381038
1840,2393726
1850,2406333
1860,2418968
1870,2431609
1880,2444296
1890,2456916
1900,2469480
1910,2482189
1920,2494759
1930,2507278
1940,2519895
1950,2532599
1960,2545309
1970,2557976
1980,2570469
1990,2583017
2000,2595621
2010,2608247
2020,2620897
2030,2633462
2040,2646090
2050,2658743
2060,2671392
2070,2684074
2080,2696580
2090,2709078
2100,2721558
2110,2733911
2120,2746183
2130,2758549
2140,2770835
2150,2783231
2160,2795636
2170,2807907
2180,2820454
2190,2832843
2200,2845250
2210,2857605
2220,2870052
2230,2882416
2240,2894786
2250,2907262
2260,2919645
2270,2931892
2280,2944257
2290,2956630
2300,2968935
2310,2981264
2320,2993693
2330,3006151
2340,3018325
2350,3030683
2360,3042944
2370,3055276
2380,3067596
2390,3079758
2400,3092108
2410,3104449
2420,3116691
2430,3129086
2440,3141401
2450,3153850
2460,3166035
2470,3178177
2480,3190451
2490,3202736
2500,3214986
2510,3227349
2520,3239576
2530,3251888
2540,3264192
2550,3276599
2560,3288599
2570,3300929
2580,3313139
2590,3325418
2600,3337647
2610,3349910
2620,3362182
2630,3374591
2640,3386803
2650,3399123
2660,3411451
2670,3423822
2680,3436111
2690,3448195
2700,3460448
2710,3472810
2720,3485162
2730,3497492
2740,3509629
2750,3521844
2760,3534090
2770,3546325
2780,3558540
2790,3570752
2800,3583085
2810,3595140
2820,3607385
2830,3619584
2840,3631879
2850,3644122
2860,3656354
2870,3668684
2880,3680821
2890,3693065
2900,3705331
2910,3717594
2920,3729704
2930,3741760
2940,3754034
2950,3766299
2960,3778498
2970,3790679
2980,3802914
2990,3815107
3000,3827213
3010,3839400
3020,3851669
3030,3863855
3040,3876009
3050,3888089
3060,3900269
3070,3912130
3080,3924315
3090,3936569
3100,3948672
3110,3960876
3120,3973010
3130,3985087
3140,3997417
3150,4009590
3160,4021752
3170,4033852
3180,4046057
3190,4058146
3200,4070227
3210,4082174
3220,4094198
3230,4106321
3240,4118432
3250,4130493
3260,4142621
3270,4154828
3280,4166945
3290,4179024
3300,4190925
3310,4202925
3320,4215095
3330,4227168
3340,4239280
3350,4251436
3360,4263511
3370,4275640
3380,4287778
3390,4299965
3400,4311880
3410,4323966
3420,4336115
3430,4348230
3440,4360377
3450,4372336
3460,4384261
3470,4396382
3480,4408449
3490,4420489
3500,4432450
3510,4444441
3520,4456452
3530,4468451
3540,4480407
3550,4492612
3560,4504625
3570,4516655
3580,4528610
3590,4540693
3600,4552548
3610,4564427
3620,4576528
3630,4588514
3640,4600559
3650,4612630
3660,4624518
3670,4636413
3680,4648514
3690,4660562
3700,4672430
3710,4684272
3720,4696358
3730,4708547
3740,4720312
3750,4732240
3760,4744209
3770,4756259
3780,4768328
3790,4780425
3800,4792440
3810,4804488
3820,4816464
3830,4828501
3840,4840408
3850,4852274
3860,4864198
3870,4876248
3880,4888124
3890,4900055
3900,4912045
3910,4924033
3920,4935731
3930,4947509
3940,4957786
3950,4969537
3960,4981404
3970,4993236
3980,5005202
3990,5017167
4000,5029222
4010,5041184
4020,5053289
4030,5065477
4040,5077578
4050,5089624
4060,5101577
4070,5113651
4080,5125644
4090,5137728
4100,5149743
4110,5161815
4120,5173619
4130,5185281
4140,5197058
4150,5208934
4160,5220693
4170,5232447
4180,5244216
4190,5256248
4200,5268139
4210,5280048
4220,5291863
4230,5303835
4240,5315615
4250,5327491
4260,5339401
4270,5351314
4280,5363233
4290,5375092
4300,5386853
4310,5398708
4320,5410538
4330,5422490
4340,5434210
4350,5445945
4360,5457623
4370,5469465
4380,5481358
4390,5493394
4400,5505425
4410,5517522
4420,5529465
4430,5541304
4440,5553364
4450,5565319
4460,5577332
4470,5589301
4480,5601360
4490,5613379
4500,5625359
4510,5637270
4520,5649426
4530,5661276
4540,5673016
4550,5685075
4560,5697049
4570,5709270
4580,5721135
4590,5733007
4600,5744965
4610,5756899
4620,5768940
4630,5780862
4640,5792875
4650,5804839
4660,5816857
4670,5828892
4680,5840976
4690,5852674
4700,5864779
4710,5876735
4720,5888714
4730,5900800
4740,5912762
4750,5924580
4760,5936593
4770,5948506
4780,5960340
4790,5972197
4800,5984099
4810,5996040
4820,6007886
4830,6019826
4840,6031642
4850,6043557
4860,6055645
4870,6067564
4880,6079395
4890,6091282
4900,6103166
4910,6114958
4920,6126794
4930,6138730
4940,6150636
4950,6162554
4960,6174473
4970,6186422
4980,6198461
4990,6210255
5000,6222050
5010,6233891
5020,6245606
5030,6257498
5040,6269371
5050,6281224
5060,6293207
5070,6305056
5080,6316813
5090,6328765
5100,6340631
5110,6352491
5120,6364226
5130,6375983
5140,6387889
5150,6399806
5160,6411805
5170,6423741
5180,6435623
5190,6447420
5200,6459378
5210,6471235
5220,6483039
5230,6494876
5240,6506649
5250,6518495
5260,6530298
5270,6542268
5280,6554226
5290,6566135
5300,6577867
5310,6589775
5320,6601680
5330,6613614
5340,6625542
5350,6637456
5360,6649405
5370,6661263
5380,6673143
5390,6684864
5400,6696689
5410,6708577
5420,6720323
5430,6732278
5440,6744050
5450,6755857
5460,6767730
5470,6779518
5480,6791344
5490,6803340
5500,6815109
5510,6826887
5520,6838711
5530,6850501
5540,6862199
5550,6873699
5560,6885476
5570,6897179
5580,6908900
5590,6920611
5600,6932229
5610,6944175
5620,6956071
5630,6967946
5640,6979844
5650,6991641
5660,7003540
5670,7015413
5680,7027122
5690,7038782
5700,7050473
5710,7062399
5720,7074129
5730,7085912
5740,7097756
5750,7109521
5760,7121269
5770,7133133
5780,7144959
5790,7156640
5800,7168422
5810,7180259
5820,7191989
5830,7203915
5840,7215839
5850,7227721
5860,7239624
5870,7251295
5880,7262976
5890,7274857
5900,7286624
5910,7298309
5920,7310136
5930,7322012
5940,7333728
5950,7345527
5960,7357237
5970,7369017
5980,7380763
5990,7392506
6000,7404186
6010,7415916
6020,7427566
6030,7439250
6040,7451075
6050,7462760
6060,7474598
6070,7486345
6080,7498075
6090,7509686
6100,7521579
6110,7533275
6120,7545046
6130,7556831
6140,7568566
6150,7580476
6160,7592429
6170,7604326
6180,7615996
6190,7627712
6200,7639451
6210,7651131
6220,7662855
6230,7674581
6240,7686398
6250,7698278
6260,7709946
6270,7721726
6280,7733531
6290,7745268
6300,7757114
6310,7769001
6320,7780777
6330,7792351
6340,7803921
6350,7815465
6360,7826989
6370,7838650
6380,7850238
6390,7861777
6400,7873311
6410,7884989
6420,7896763
6430,7908442
6440,7920129
6450,7931810
6460,7943479
6470,7955136
6480,7966824
6490,7978367
6500,7989944
6510,8001559
6520,8013233
6530,8024793
6540,8036557
6550,8048244
6560,8059712
6570,8071353
6580,8083155
6590,8094803
6600,8106333
6610,8118002
6620,8129394
6630,8140975
6640,8152529
6650,8164230
6660,8175757
6670,8187476
6680,8199238
6690,8210848
6700,8222401
6710,8234049
6720,8245590
6730,8257282
6740,8268910
6750,8280503
6760,8292205
6770,8303844
6780,8315561
6790,8327118
6800,8338684
6810,8349982
6820,8361595
6830,8373233
6840,8385026
6850,8396663
6860,8408190
6870,8419949
6880,8431525
6890,8443203
6900,8454759
6910,8466351
6920,8478016
6930,8489647
6940,8501202
6950,8512686
6960,8524255
6970,8536002
6980,8547720
6990,8559346
7000,8570959
7010,8582591
7020,8594158
7030,8605600
7040,8617190
7050,8628823
7060,8640550
7070,8652304
7080,8663903
7090,8675554
7100,8687328
7110,8698762
7120,8710263
7130,8721784
7140,8733496
7150,8745134
7160,8756708
7170,8768846
7180,8780923
7190,8792468
7200,8804017
7210,8815497
7220,8827145
7230,8838702
7240,8850375
7250,8862186
7260,8873856
7270,8885393
7280,8897140
7290,8908784
7300,8920174
7310,8931876
7320,8943637
7330,8955400
7340,8967170
7350,8978938
7360,8990596
7370,9002145
